;id;Name;Main Story;Main + Extras;Completionist;All Styles;Platforms;Genre;Developer;Publisher;NA;EU;JP
796;62899.0; command and conquer rivals ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
797;62902.0; .kkrieger ;15 Mins ;NAN;NAN;NAN;   PC ;NAN;   Farbrausch ;   Farbrausch ; 2004 ;NAN;NAN
798;62903.0; Gizmo ;5 Mins ;-- ;2 Hours ;53 Mins ;   PC ;   Platform ;NAN;   Milo Games ;December 05, 2018 ;December 05, 2018 ;NAN
799;62904.0; Jump Jumpz ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
800;62905.0; Valkyrie Sky ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
801;62906.0; Secret of the Solstice ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
802;62907.0; Oz World ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
803;62908.0; The Experiment: Escape Room ;47 Mins ;-- ;-- ;47 Mins ;   Nintendo Switch, PC ;   Puzzle ;   OnSkull Games ;   OnSkull Games ;November 22, 2018 ;November 22, 2018 ;NAN
804;62909.0; Blue's Treasure Hunt ;-- ;-- ;-- ;-- ;   PC ;NAN;   Humongous Entertainment ;   Humongous Entertainment ;September 11, 1999 ;NAN;NAN
805;62911.0; NBA 2K Playgrounds 2 ;9 Hours - 58½ Hours ;-- ;-- ;NAN;   Nintendo Switch, PC, PlayStation 4 ;   Sports ;   Saber Interactive ;   2K ;October 15, 2018 ;October 15, 2018 ;NAN
806;62912.0; We are Alright ;NAN;NAN;NAN;NAN;   PC ;NAN;   Borys Nieśpielak ;NAN;May 21, 2018 ;May 21, 2018 ;NAN
807;62913.0; Crazy Machines VR ;-- ;-- ;-- ;-- ;   PC ;NAN;   Fakt Software ;   Wild River Games ;October 25, 2018 ;October 25, 2018 ;NAN
808;62915.0; CardLife ;-- ;-- ;-- ;-- ;   PC ;NAN;   Freejam ;   Freejam ;October 09, 2018 ;October 09, 2018 ;NAN
809;62916.0; Assassin's Creed Odyssey - Legacy of the First Blade ;6 Hours ;10 Hours ;12½ Hours ;10½ Hours ;   Google Stadia, PC, PlayStation 4, Xbox One ;NAN;NAN;   Ubisoft ;December 04, 2018 ;December 04, 2018 ;December 04, 2018 
810;62917.0; El Ninja (Beta) ;-- ;-- ;-- ;-- ;NAN;NAN;NAN;NAN;NAN;NAN;NAN
